epeak_keV,threshold_photon_flux_ph_cm2_s,threshold_energy_flux_erg_cm2_s,source_counts_at_threshold,background_counts_total,background_counts_cxb,background_counts_internal,trigger_energy_min_keV,trigger_energy_max_keV,sigma0
87.33261623828433,4.59075283530732,1.9415595627584378e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
89.73072494285633,4.54283586245707,1.9559508812407106e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
92.19468447849992,4.4960978222890216,1.970735404189734e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
94.72630307515246,4.45050718471878,1.9859157440994745e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
97.32743861581504,4.40603338016743,2.0014945513043046e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
100.0,4.362646771446995,2.0174745103846343e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
102.745948544618,4.320318626451039,2.0338583363810554e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
105.56729942333291,4.279021091616631,2.050648770798423e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
108.46612314544045,4.2387271661942,2.0678485774138628e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
111.44454707535625,4.199410677284197,2.08546053786717e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
114.50475699382812,4.16104625563297,2.1034874470267283e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
117.64899870201853,4.123609312176348,2.1219321081220604e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
120.87957966963427,4.087076015317239,2.1407973276326314e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
124.19887072831295,4.051423268923072,2.1600859099217613e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
127.60930781150918,4.016628691028629,2.1798006516037449e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
131.11339374215643,3.9826705932296225,2.1999443356314643e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
134.71370006941845,3.949527960752394,2.220519725090797e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
138.41286895587572,3.917180433187601,2.2415295566809666e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
142.21361511653362,3.8856082858634435,2.2629765338896287e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
146.11872781107488,3.854792411856432,2.284863319819349e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
150.13107289081742,3.824714304621794,2.307192529654888e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
154.25359490188222,3.795356041227089,2.3299667227604765e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
158.48931924611142,3.7667002661771916,2.353188394384705e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
162.841354401325,3.7387301758176763,2.3768599669530644e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
167.31289420254444,3.7114295033040494,2.4009837809270154e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
171.90722018585745,3.6847825041247697,2.4255620852073175e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
176.62770399664427,3.6587739421664613,2.450597027058069e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
181.47780986393235,3.633389076310265,2.4760906415265844e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
186.46109714269562,3.6086136475514277,2.5020448403346597e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
191.58122292596423,3.5844338666256403,2.5284614002090384e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
